Es konnte eine 2383.56 km lange Flugstrecke durch alle Außenposten ermittelt werden.
1. [20.2122, 156.013] 
2. [33.3797, 100.161] 160.586° 
3. [28.9137, 58.6999] 151.195° 
4. [51.0081, 5.7696] 149.699° 
5. [42.1378, -60.3199] 116.977° 
6. [-82.8641, -104.174] 106.026° 
7. [-98.7604, -81.7706] 176.676° 
8. [-137.318, -20.1469] 113.448° 
9. [-191.717, -28.3605] 179.89° 
10. [-221.15, -32.8625] 105.541° 
11. [-239.848, 8.6714] 154.98° 
12. [-239.414, 40.4271] 131.945° 
13. [-154.088, 115.023] 164.435° 
14. [-119.026, 168.454] 91.8053° 
15. [101.499, 33.4842] 170.242° 
16. [139.447, 0.233238] 97.6677° 
17. [94.7899, -67.0877] 145.005° 
18. [-129.104, -155.042] 96.1933° 
19. [-240.369, 57.4261] 127.717° 
20. [-219.149, 103.685] 150.887° 
21. [-107.989, 185.174] 105.549° 
22. [153.13, -20.3609] 108.462° 
23. [144.833, -43.4763] 98.9565° 
24. [-16.7231, -12.6895] 131.852° 
25. [-20.9712, -5.63711] 
